interval,timestamp,mg2.x,mg2.y,mg2.z
0.0,46757786.0045,20.78125,-20.81875,56.69375
0.0,46757786.0545,20.64375,-21.05625,56.66875
0.0,46757786.1045,20.64375,-21.05625,56.66875
0.0,46757786.1545,20.51875,-20.89375,56.61875
0.0,46757786.2045,20.275,-21.0625,56.63125
0.0,46757786.2545,20.275,-21.0625,56.63125
0.0,46757786.3045,20.225,-20.98125,56.85625
0.0,46757786.3545,20.225,-20.98125,56.85625
0.0,46757786.4045,19.99375,-20.98125,56.76875
0.0,46757786.4545,19.99375,-20.98125,56.76875
0.0,46757786.5045,19.6625,-21.0,56.8125
0.0,46757786.5545,19.6625,-21.0,56.8125
0.0,46757786.6045,19.3625,-20.89375,56.9125
0.0,46757786.6545,19.3625,-20.89375,56.9125
0.0,46757786.7045,19.1625,-20.85,56.9625
0.0,46757786.7545,19.1625,-20.85,56.9625
0.0,46757786.8045,19.03125,-20.83125,57.1
0.0,46757786.8545,19.03125,-20.83125,57.1
0.0,46757786.9045,18.99375,-20.74375,57.15
0.0,46757786.9545,18.99375,-20.74375,57.15
1.0,46757787.0045,18.95625,-20.75,57.2375
1.0,46757787.0545,18.95625,-20.75,57.2375
1.0,46757787.1045,19.025,-20.8875,57.3375
1.0,46757787.84,20.0375,-20.6625,56.9875
1.0,46757787.89,20.0375,-20.6625,56.9875
1.0,46757787.94,20.13125,-20.60625,57.05625
1.0,46757787.99,20.13125,-20.60625,57.05625
2.0,46757788.04,20.225,-20.56875,56.825
2.0,46757788.09,20.225,-20.56875,56.825
2.0,46757788.14,20.34375,-20.55625,56.8
2.0,46757788.19,20.34375,-20.55625,56.8
2.0,46757788.7589,20.36875,-20.83125,56.725
2.0,46757788.8089,20.26875,-20.7875,56.725
2.0,46757788.8589,20.26875,-20.7875,56.725
2.0,46757788.9089,20.1125,-20.8125,56.73125
2.0,46757788.9589,20.1125,-20.8125,56.73125
3.0,46757789.0089,20.01875,-20.71875,56.84375
3.0,46757789.0589,20.01875,-20.71875,56.84375
3.0,46757789.1089,19.8375,-20.80625,56.9
3.0,46757789.1589,19.8375,-20.80625,56.9
3.0,46757789.2089,19.7375,-20.875,56.8375
3.0,46757789.2589,19.7375,-20.875,56.8375
3.0,46757789.3089,19.4875,-21.16875,57.0375
3.0,46757789.3589,19.4875,-21.16875,57.0375
3.0,46757789.4089,19.64375,-20.8625,57.0125
3.0,46757789.4589,19.64375,-20.8625,57.0125
3.0,46757789.5089,19.68125,-20.88125,57.075
3.0,46757789.5589,19.68125,-20.88125,57.075
3.0,46757789.6089,19.8,-20.825,56.93125
3.0,46757789.6589,19.8,-20.825,56.93125
3.0,46757789.7089,19.85,-20.71875,56.9875
3.0,46757789.7589,19.975,-20.675,57.01875
3.0,46757789.8089,19.975,-20.675,57.01875
3.0,46757789.8589,20.06875,-20.65,56.96875
3.0,46757789.9089,20.06875,-20.65,56.96875
3.0,46757789.9589,20.125,-20.6375,56.93125
4.0,46757790.0089,20.125,-20.6375,56.93125
4.0,46757790.0589,20.09375,-20.8875,57.025
4.0,46757790.1089,20.09375,-20.8875,57.025
4.0,46757790.1589,20.2875,-20.5375,56.8375
4.0,46757790.2089,20.2875,-20.5375,56.8375
4.0,46757790.2589,20.175,-20.70625,56.85625
4.0,46757790.3089,20.175,-20.70625,56.85625
4.0,46757790.3589,20.36875,-20.4,56.7875
4.0,46757790.4089,20.36875,-20.4,56.7875
4.0,46757790.4589,20.48125,-20.4875,56.76875
4.0,46757790.5089,20.48125,-20.4875,56.76875
4.0,46757790.5589,20.525,-20.4375,56.7625
4.0,46757790.6089,20.525,-20.4375,56.7625
4.0,46757790.6589,20.475,-20.55,56.825
4.0,46757790.7089,20.475,-20.55,56.825
4.0,46757790.7589,20.54375,-20.4125,56.875
4.0,46757790.8089,20.46875,-20.475,56.83125
4.0,46757790.8589,20.46875,-20.475,56.83125
4.0,46757790.9089,20.425,-20.48125,56.71875
4.0,46757790.9589,20.425,-20.48125,56.71875
5.0,46757791.0089,20.2875,-20.45,56.9
5.0,46757791.0589,20.2875,-20.45,56.9
5.0,46757791.1089,20.29375,-20.4375,56.8125
5.0,46757791.1589,20.29375,-20.4375,56.8125
5.0,46757791.2089,20.19375,-20.44375,56.8
5.0,46757791.2589,20.19375,-20.44375,56.8
5.0,46757791.3089,20.19375,-20.4125,56.8875
5.0,46757791.3589,20.19375,-20.4125,56.8875
5.0,46757791.4089,20.08125,-20.45,56.8875
5.0,46757791.4589,20.08125,-20.45,56.8875
5.0,46757791.5089,20.05625,-20.3375,56.99375
5.0,46757791.5589,20.05625,-20.3375,56.99375
5.0,46757791.6089,20.0125,-20.29375,57.01875
5.0,46757791.6589,20.0125,-20.29375,57.01875
5.0,46757791.7089,20.04375,-20.15,57.025
5.0,46757791.7589,20.04375,-20.15,57.025
5.0,46757791.8089,20.05,-20.15,57.0625
5.0,46757791.8589,20.05,-20.15,57.0625
5.0,46757791.9089,20.14375,-20.11875,57.06875
5.0,46757791.9589,20.0625,-20.25,57.03125
6.0,46757792.0089,20.0625,-20.25,57.03125
6.0,46757792.0589,20.1625,-20.3125,57.16875
6.0,46757792.1089,20.1625,-20.3125,57.16875
6.0,46757792.1589,20.35,-20.0375,56.96875
6.0,46757792.2089,20.35,-20.0375,56.96875
6.0,46757792.2589,20.40625,-19.99375,56.91875
6.0,46757792.3089,20.40625,-19.99375,56.91875
6.0,46757792.3589,20.29375,-20.2125,57.0375
6.0,46757792.4089,20.29375,-20.2125,57.0375
6.0,46757792.4589,20.475,-20.2,56.94375
6.0,46757792.5089,20.475,-20.2,56.94375
6.0,46757792.5589,20.6625,-20.15625,56.95625
6.0,46757792.6089,20.6625,-20.15625,56.95625
6.0,46757792.6589,20.68125,-20.2,56.8875
6.0,46757792.7089,20.68125,-20.2,56.8875
6.0,46757792.7589,20.78125,-20.175,56.8125
6.0,46757792.8089,20.78125,-20.175,56.8125
6.0,46757792.8589,20.8,-20.25,56.88125
6.0,46757792.9089,20.8,-20.25,56.88125
6.0,46757792.9589,20.7,-20.25,56.81875
7.0,46757793.0089,20.6375,-20.29375,56.925
7.0,46757793.0589,20.6375,-20.29375,56.925
7.0,46757793.1089,20.56875,-20.1875,56.76875
7.0,46757793.1589,20.56875,-20.1875,56.76875
7.0,46757793.2089,20.4625,-20.1375,56.81875
7.0,46757793.2589,20.4625,-20.1375,56.81875
7.0,46757793.3089,20.4125,-20.18125,56.89375
7.0,46757793.3589,20.4125,-20.18125,56.89375
7.0,46757793.4089,20.2125,-20.3375,56.94375
7.0,46757793.4589,20.2125,-20.3375,56.94375
