interval,timestamp,mg1.x,mg1.y,mg1.z
0.0,77130870.0,-1991.884239822558,-107911.05122444718,272265.35624457145
0.0,77130870.05,-2198.0317151381732,-107979.0077204225,272530.142045098
0.0,77130870.1,-2441.0954576587783,-108427.08007378793,273126.14866923215
0.0,77130870.14999999,-1783.4625101893728,-107564.87447897674,271809.7095446282
0.0,77130870.19999999,-2555.394593106994,-108247.58324727385,273217.4979978381
0.0,77130870.24999999,-1288.1505817130744,-106789.81742195322,270819.45879269566
0.0,77130870.29999998,-2465.615933769368,-107752.43462612877,272667.54445123253
0.0,77130870.34999998,-1971.1021570606558,-107172.14977545725,271774.44319285173
0.0,77130870.39999998,-1460.9608153693448,-106699.59774832694,271263.4288784161
0.0,77130870.44999997,-2909.1703689428523,-108218.33440056999,274052.17819742754
0.0,77130870.49999997,-558.5669517322079,-105856.53218824702,269786.8909251901
0.0,77130870.54999997,-3460.4340703638964,-108927.49117457053,275282.1840125734
0.0,77130870.59999996,-1027.477486708516,-105931.56733010279,269842.93226819776
0.0,77130870.64999996,-2823.345581912705,-107833.37512176418,273168.50230972096
0.0,77130870.69999996,-3448.152991190127,-108772.1029708957,274784.92995168397
0.0,77130870.74999996,-14.414962603539493,-105134.8436964077,268105.6193109215
0.0,77130870.79999995,-7443.62964872423,-113186.78746898702,281881.6734307779
0.0,77130870.84999995,3313.584342080794,-101824.60530439558,261259.2243138069
0.0,77130870.89999995,-10500.516884202436,-116709.46728034016,288101.7400811352
0.0,77130870.94999994,5510.109751109738,-99845.18359201605,257530.28770094743
1.0,77130871.0,18006.089166061916,-109028.47258241763,270157.3531912606
1.0,77130871.05,-22849.42084531504,-107559.86345465732,275578.201050658
1.0,77130871.1,12273.366559740381,-109041.8598038118,270481.22156191303
1.0,77130871.14999999,-14609.877399329083,-107177.4365379074,272706.6144262451
1.0,77130871.19999999,3442.0720295639057,-108348.24412859326,272670.6412520509
1.0,77130871.24999999,-4835.041661136044,-106545.3524312827,271524.68774488196
1.0,77130871.29999998,-2927.5613382880824,-107915.272907183,272990.7796250264
1.0,77130871.34999998,1239.8818320958233,-107452.16997002385,271643.6573498416
1.0,77130871.39999998,-4660.280390809012,-106755.0839995317,271998.08713558223
1.0,77130871.44999997,1016.5929560827334,-108533.5381691523,273895.6553421734
1.0,77130871.49999997,-2766.959494185282,-106247.45940030023,270080.755084018
1.0,77130871.54999997,-1335.1768746124433,-109538.47072368776,275073.8678882227
1.0,77130871.59999996,-1117.5358735248928,-105626.9621845737,269642.2189329177
1.0,77130871.64999996,-3175.5595019711955,-107609.28563337866,273070.27598187583
1.0,77130871.69999996,-1338.64139441917,-108736.77176574158,274816.28143987176
1.0,77130871.74999996,-799.127537127554,-105006.7543260422,268505.50915664044
1.0,77130871.79999995,-4913.203178667108,-114300.87540369068,282294.0820737165
1.0,77130871.84999995,3212.2469366874307,-102661.54690891839,261856.7710757183
1.0,77130871.89999995,-9281.478774083447,-116668.98755977744,288263.8656768814
1.0,77130871.94999994,5605.236781818506,-99350.4872144592,257515.21218212243
2.0,77130872.0,18373.63544643832,-108897.07379893232,270028.46090659813
2.0,77130872.05,-22385.702126957818,-107438.57154987843,275519.01365029556
2.0,77130872.1,13192.672363811318,-108810.99181758333,270943.7128697468
2.0,77130872.14999999,-13672.158334844582,-106922.8833485176,273214.17585366993
2.0,77130872.19999999,4043.3464959960106,-108244.17527353691,272625.28854734625
2.0,77130872.24999999,-4301.899771703417,-106411.91351532229,271506.73696939775
2.0,77130872.29999998,-2392.5859199266847,-107687.3809271497,273042.4727125213
2.0,77130872.34999998,1668.334452356746,-107189.10476179892,271701.5725766273
2.0,77130872.39999998,-4586.663029293297,-106276.82832948997,271893.44743059156
2.0,77130872.44999997,1133.1175240979223,-107858.04266225615,273519.3790216398
2.0,77130872.49999997,-2663.0847081578086,-105295.4700050498,269907.5414226935
2.0,77130872.54999997,-1388.1078357057436,-108606.35614522922,275072.26845812297
2.0,77130872.59999996,-571.0305110288353,-105746.35823873308,270091.81322879577
2.0,77130872.64999996,-2491.298471920062,-107929.4214988764,273496.12887540687
2.0,77130872.69999996,-1254.1114486664494,-108992.60332250799,274743.39257283125
2.0,77130872.74999996,-991.3095612597103,-105269.79060280866,268309.1863952009
2.0,77130872.79999995,-5245.362598328432,-113265.30379205973,281802.07312777604
2.0,77130872.84999995,2825.433831816342,-101590.23167157586,261316.41140882426
